N_Percentile,Thr_Value,TN,FP,FN,TP,Sensitivity,Specificity,PPV,NPV,Recall,Accuracy,Site_Name
Top 37%,0.0811482328124394,12025,6371,527,1001,0.655104712041885,0.65367471189389,0.135784047748237,0.958014659018483,0.655104712041885,0.653784380646456,Emory University
Top 38%,0.0782748182906491,11839,6557,514,1014,0.663612565445026,0.643563818221352,0.133932109364681,0.958390674330122,0.663612565445026,0.645101385264003,Emory University
Top 39%,0.075594394292323,11658,6738,496,1032,0.675392670157068,0.633724722765819,0.132818532818533,0.959190389995063,0.675392670157068,0.636920297129091,Emory University
Top 40%,0.0731836813802083,11475,6921,479,1049,0.68651832460733,0.623776908023483,0.131618569636135,0.959929730634097,0.68651832460733,0.628588636819916,Emory University
Top 41%,0.0706013545115293,11293,7103,462,1066,0.697643979057592,0.613883452924549,0.130493328436773,0.960697575499787,0.697643979057592,0.620307167235495,Emory University
Top 42%,0.0684236672121155,11105,7291,451,1077,0.704842931937173,0.60366383996521,0.128704588910134,0.960972654897889,0.704842931937173,0.611423408954025,Emory University
Top 43%,0.0660504982202829,10925,7471,432,1096,0.717277486910995,0.593879104153077,0.127932765262052,0.961961785682839,0.717277486910995,0.603342702268621,Emory University
Top 44%,0.063926791788514,10742,7654,415,1113,0.728403141361257,0.583931289410741,0.126953347781453,0.962803621045084,0.728403141361257,0.595011041959446,Emory University
Top 45%,0.0614440855684747,10559,7837,399,1129,0.738874345549738,0.573983474668406,0.125920142761544,0.963588246030297,0.738874345549738,0.586629190925517,Emory University
Top 46%,0.0593258725032534,10376,8020,383,1145,0.74934554973822,0.564035659926071,0.12493180578287,0.964401896086997,0.74934554973822,0.578247339891588,Emory University
Top 47%,0.0573500677078405,10189,8207,371,1157,0.75719895287958106,0.553870406610133,0.123558308415207,0.964867424242424,0.75719895287958106,0.569463963059627,Emory University
Top 48%,0.0556842344166025,10003,8393,357,1171,0.766361256544503,0.543759512937595,0.122438310330406,0.965540540540541,0.766361256544503,0.560831158401927,Emory University
Top 49%,0.0538039940143504,9811,8585,350,1178,0.770942408376963,0.533322461404653,0.120659633309434,0.965554571400453,0.770942408376963,0.551545874322425,Emory University
Top 50%,0.0521005064927391,9631,8765,331,1197,0.783376963350785,0.52353772559252,0.120156595061233,0.966773740212809,0.783376963350785,0.543465167637021,Emory University
Top 51%,0.0502551935528393,9443,8953,320,1208,0.790575916230366,0.513318112633181,0.11888593642358,0.967223189593363,0.790575916230366,0.534581409355551,Emory University
Top 52%,0.0486725914725517,9255,9141,309,1219,0.797774869109948,0.503098499673842,0.117664092664093,0.967691342534504,0.797774869109948,0.525697651074082,Emory University
Top 53%,0.0468470429902957,9062,9334,302,1226,0.802356020942408,0.492607088497499,0.116098484848485,0.967748825288338,0.802356020942408,0.516362176269825,Emory University
Top 54%,0.0451550618449878,8876,9520,289,1239,0.81086387434555,0.482496194824962,0.11515940143136,0.968466993998909,0.81086387434555,0.507679180887372,Emory University
Top 55%,0.0438465619441489,8698,9698,268,1260,0.824607329842932,0.47282017829963,0.114984486220113,0.970109301806826,0.824607329842932,0.499799237100984,Emory University
Top 56%,0.0422299132886049,8513,9883,254,1274,0.833769633507853,0.462763644270494,0.114188401900152,0.971027717577278,0.833769633507853,0.491216623168039,Emory University
Top 57%,0.0408316555668945,8323,10073,244,1284,0.840314136125654,0.452435312024353,0.113058025887118,0.971518617952609,0.840314136125654,0.482182292712307,Emory University
Top 58%,0.0395199404416822,8136,10260,232,1296,0.848167539267016,0.442270058708415,0.11214953271028,0.972275334608031,0.848167539267016,0.473398915880345,Emory University
Top 59%,0.038304122841109,7947,10449,222,1306,0.854712041884817,0.431996086105675,0.111101658868567,0.972824091076019,0.854712041884817,0.464414776149368,Emory University
Top 60%,0.0369459751011263,7754,10642,216,1312,0.858638743455497,0.421504674929332,0.109754057219341,0.972898368883312,0.858638743455497,0.455029110620357,Emory University
Top 61%,0.0357494475662931,7564,10832,206,1322,0.865183246073298,0.411176342683192,0.10877077505348,0.973487773487773,0.865183246073298,0.445994780164626,Emory University
Top 62%,0.0345129788169789,7375,11021,196,1332,0.871727748691099,0.400902370080452,0.107828057961629,0.974111742174085,0.871727748691099,0.437010640433648,Emory University
Top 63%,0.0332062258440173,7188,11208,184,1344,0.879581151832461,0.390737116764514,0.107074569789675,0.975040694519805,0.879581151832461,0.428227263601686,Emory University
