"group","hour","avg_temperature","std","n"
"HFR",0,37.564468211527,0.867619927190734,561
"HFR",1,37.6806253489671,0.895940718086653,199
"HFR",2,37.7442680776014,0.833579109841025,252
"HFR",3,37.7836832895888,0.704757673764573,254
"HFR",4,37.7519640852974,0.701048766787174,297
"HFR",5,37.690867003367,0.647909855935581,264
"HFR",6,37.6105422828972,0.634972188682251,293
"HFR",7,37.6452658884565,0.618434494995296,257
"HFR",8,37.5393939393939,0.612700940851809,275
"HFR",9,37.5475589225589,0.634120819344878,264
"HFR",10,37.4741414141414,0.642632652373371,275
"HFR",11,37.4977598566308,0.650593432600061,248
"HFR",12,37.3983451536643,0.610669075071114,282
"HFR",13,37.3959762231367,0.600851405789504,243
"HFR",14,37.3290770609319,0.668066684435234,248
"HFR",15,37.3156263833555,0.618864970533541,251
"HFR",16,37.2544802867383,0.605331801083824,248
"HFR",17,37.2426900584795,0.561411290961167,228
"HFR",18,37.2182061579652,0.614772944700887,249
"HFR",19,37.1541794087666,0.546026654835152,218
"HFR",20,37.1304748732135,0.614853042845662,241
"HFR",21,37.0582788671024,0.527529394552025,204
"HFR",22,37.0521885521886,0.549790760901178,231
"HFR",23,37.0531400966184,0.55892463732112,207
"HFR",24,37.0050108932462,0.573940390049587,255
"HFR",25,36.9425381263617,0.552162046798523,204
"HFR",26,36.9201058201058,0.545871136249667,210
"HFR",27,36.9202777777778,0.503957214084089,200
"HFR",28,36.8647984267453,0.442890871514687,226
"HFR",29,36.8943406022845,0.453016884875209,214
"HFR",30,36.8908296943231,0.495536178423223,229
"HFR",31,36.863508178229,0.530573263240649,197
"HFR",32,36.8134030891878,0.467663332963979,223
"HFR",33,36.7746031746032,0.447413565311237,210
"HFR",34,36.7916666666667,0.463357300900649,212
"HFR",35,36.7957175925926,0.449972513446531,192
"HFR",36,36.719012345679,0.444293266836998,225
"HFR",37,36.7111724984653,0.407214596188794,181
"HFR",38,36.6577540106952,0.46401053223379,187
"HFR",39,36.7476459510358,0.483160819878104,177
"HFR",40,36.6944444444444,0.425173975049383,214
"HFR",41,36.738475177305,0.401376402741483,188
"HFR",42,36.7324786324786,0.376655774486154,195
"HFR",43,36.7430555555556,0.415511626572083,176
"HFR",44,36.7538888888889,0.401989206684041,200
"HFR",45,36.7019643953346,0.402281168981732,181
"HFR",46,36.731843575419,0.415481695889434,179
"HFR",47,36.7239475500345,0.474033387840311,161
"HFR",48,36.677207977208,0.430035241295636,195
"HFR",49,36.7086563307494,0.450810166544983,172
"HFR",50,36.6892551892552,0.428144790220173,182
"HFR",51,36.698275862069,0.428059245908969,174
"HFR",52,36.6712962962963,0.408285244849063,180
"HFR",53,36.7180814354727,0.401316929104759,161
"HFR",54,36.6340996168582,0.388503499665947,174
"HFR",55,36.7140313390313,0.38062413306597,156
"HFR",56,36.6591503267974,0.393299126987373,170
"HFR",57,36.6975694444444,0.40021671254042,160
"HFR",58,36.6723646723647,0.415412904002281,156
"HFR",59,36.7141280353201,0.387000566294785,151
"HFR",60,36.6629213483146,0.378808253814764,178
"HFR",61,36.6681681681682,0.420806890370394,148
"HFR",62,36.6723484848485,0.444963171313713,176
"HFR",63,36.694847020934,0.405382279018882,138
"HFR",64,36.6750841750842,0.47922851455085,165
"HFR",65,36.7149758454106,0.511536909420527,115
"HFR",66,36.6649305555556,0.451224103974729,96
"HFR",67,36.6377777777778,0.436326080444072,50
"HFR",68,36.6166666666667,0.373985568359792,50
"HFR",69,36.6133786848073,0.30216110826669,49
"HFR",70,36.6894586894587,0.333264600301069,39
"HFR",71,36.6635802469136,0.268452775364051,18
"HFR",72,36.6060606060606,0.331899272104947,11
"HSR",0,36.9691924990432,0.871019213301281,871
"HSR",1,37.0200119474313,0.995337585166764,372
"HSR",2,37.2247176254268,0.965036434769469,423
"HSR",3,37.3823835545147,0.847780117667899,427
"HSR",4,37.4824372759857,0.819255810778717,465
"HSR",5,37.5545893719807,0.785236998629427,460
"HSR",6,37.6360269360269,0.781569849260116,495
"HSR",7,37.6223333333333,0.772161378718613,500
"HSR",8,37.6134525329928,0.756773449812256,522
"HSR",9,37.6763754045307,0.755686008313638,515
"HSR",10,37.75005192108,0.709301128822067,535
"HSR",11,37.7183006535948,0.727377611871288,510
"HSR",12,37.7438326425893,0.642921888894813,563
"HSR",13,37.7386223862239,0.606631237072701,542
"HSR",14,37.7353063343718,0.640094689952588,535
"HSR",15,37.7157355095208,0.631915552492836,531
"HSR",16,37.7572999620781,0.596825967850251,586
"HSR",17,37.7662337662338,0.594449787431196,539
"HSR",18,37.789315493504,0.632579595398182,573
"HSR",19,37.7675757575758,0.619287415907771,550
"HSR",20,37.7405195297687,0.611389193199181,586
"HSR",21,37.7659963436929,0.628365763724818,547
"HSR",22,37.7797906602254,0.636030963576204,552
"HSR",23,37.7730607966457,0.596110500102569,530
"HSR",24,37.7814878234399,0.604006887792113,584
"HSR",25,37.7848274410774,0.591779699188646,528
"HSR",26,37.7983312983313,0.56480209017011,546
"HSR",27,37.7767175572519,0.553980181718025,524
"HSR",28,37.7451904201021,0.559920209538419,566
"HSR",29,37.7570987654321,0.543405498285869,540
"HSR",30,37.7111111111111,0.554457656986925,545
"HSR",31,37.7200936568753,0.564028130734934,522
"HSR",32,37.6601193914885,0.540567429532911,577
"HSR",33,37.7022306397306,0.532912090236998,528
"HSR",34,37.6487878787879,0.535816286169158,550
"HSR",35,37.6489548954896,0.534291417465912,505
"HSR",36,37.6432914046122,0.533456562737289,530
"HSR",37,37.6711328976035,0.570225990110948,510
